rep_sitc,rep,country,sitc,sitc_desc,BI2000,BIS2000,BI2005,BIS2005,BI2010,BIS2010,BI2015,BIS2015,BI2020,BIS2020,BI2021,BIS2021,BI2022,BIS2022,BI2023,BIS2023
036001,036,Australia,001,Live animals chiefly for food,5.0330114,.66849059,5.0631742,.67013979,4.1911864,.61473161,6.9823809,.74944818,4.1730032,.61337739,3.4824996,.55382037,2.4493294,.42017716,,
036011,036,Australia,011,"Meat and edible meat offal, fresh, chilled or frozen",7.3219156,.75967073,6.7107477,.74062181,3.9134359,.59295285,8.0267324,.77843589,4.8921957,.66056794,4.4716043,.63447648,4.0218992,.60174429,,
036012,036,Australia,012,"Meat and edible meat offal, in brine, dried, salted or smoked",.21380535,-.64771068,.12933794,-.77094913,.046451025,-.9112218,.020547859,-.9597317,.015507299,-.969459,.01128957,-.97767293,.017149977,-.96627837,,
036014,036,Australia,014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",.64867419,-.21309596,.71421856,-.16671237,.21637152,-.64423448,.2903018,-.55002499,.24008533,-.61279225,.23068814,-.62510705,.22469673,-.63305736,,
036022,036,Australia,022,Milk and cream,6.8019032,.74365228,5.1734257,.67603076,1.8162775,.28984272,2.4198849,.415185,1.9372621,.31909379,2.0621848,.34687155,1.8168482,.28998658,,
036023,036,Australia,023,Butter,6.5263376,.73426652,3.5121744,.55675471,1.9657481,.32563388,1.7427993,.27081797,.66999,-.19761196,.93197298,-.035211165,.44795406,-.38125929,,
036024,036,Australia,024,Cheese and curd,5.2033672,.67759448,3.7743034,.58109075,1.428508,.17644909,1.9438194,.32061049,1.1521946,.070716009,1.0109583,.0054492992,.76827204,-.13104768,,
036025,036,Australia,025,"Eggs, birds', and egg yolks, fresh, dried or preserved",.11963131,-.78630233,.056213673,-.89355624,.013455178,-.97344691,.033814304,-.93458343,.05571774,-.89444578,.06427557,-.87921256,.072073564,-.8655436,,
036034,036,Australia,034,"Fish, fresh, chilled or frozen",1.103382,.049150363,.58406121,-.26257747,.46139389,-.36855641,.41290247,-.41552585,.46456322,-.36559486,.46719456,-.36314574,.35476547,-.47627029,,
036035,036,Australia,035,"Fish, dried, salted or in brine; smoked fish",.38915539,-.43972376,.35895586,-.47171813,.27397695,-.5698871,.037112631,-.92843086,.031552803,-.93882465,.023600759,-.95388681,.016181814,-.96815175,,
036036,036,Australia,036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",4.173882,.61344308,3.1769786,.52118498,2.4368627,.41807392,2.7995296,.47361904,1.3421421,.14608085,.80826145,-.10603475,.62077218,-.23397972,,
036037,036,Australia,037,"Fish, crustaceans and molluscs, prepared or preserved, nes",.9837774,-.0081776297,.5107637,-.32383376,.27191004,-.57243824,.16794217,-.71241355,.019096615,-.96252245,.016672438,-.96720195,.040110882,-.92287189,,
036041,036,Australia,041,"Wheat and meslin, unmilled",17.48914,.89182842,16.148745,.88337338,10.27409,.82260209,13.969621,.86639607,6.1589346,.7206288,12.235136,.84888709,10.405882,.8246519,,
036042,036,Australia,042,Rice,4.0352421,.60279965,.37577441,-.45372671,.34234592,-.4899289,1.8681179,.30267861,.15234713,-.73558813,.27361932,-.57032794,.55844086,-.2833339,,
036043,036,Australia,043,"Barley, unmilled",14.468285,.87070316,16.816446,.88774419,12.508057,.85194021,22.581181,.91518658,10.970908,.8329283,14.309158,.86935925,10.655311,.82840443,,
