rep,country,sitc,sitc_desc,BIS2000,BIS2005,BIS2010,BIS2015,BIS2020,BIS2021,BIS2022,BIS2023
056,Belgium,001,Live animals chiefly for food,.15468931,-.016150817,.16348128,.21710478,.20920245,.19655293,.13421199,
056,Belgium,011,"Meat and edible meat offal, fresh, chilled or frozen",.21089499,.078790031,.25878182,.30803052,.1213155,.096843146,.060784861,
056,Belgium,012,"Meat and edible meat offal, in brine, dried, salted or smoked",.15141535,-.011679175,.18553847,.11642882,.15365839,.064564772,.032891136,
056,Belgium,014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",.42028192,.25087959,.29089093,.3409169,.24812473,.19399956,.13315743,
056,Belgium,022,Milk and cream,.47122034,.34647742,.3524473,.46175793,.46277371,.43767828,.42762175,
056,Belgium,023,Butter,.61096382,.53359538,.61804587,.67217636,.67737955,.65762395,.61633414,
056,Belgium,024,Cheese and curd,.13301225,.044022273,.03265281,.25723377,.19248228,.13020346,.031625837,
056,Belgium,025,"Eggs, birds', and egg yolks, fresh, dried or preserved",.41458032,.088852987,.31781036,.4022958,.36394978,.30571765,.23825824,
056,Belgium,034,"Fish, fresh, chilled or frozen",-.52881074,-.48368376,-.52229238,-.60181195,-.61423922,-.66273034,-.7565468,
056,Belgium,035,"Fish, dried, salted or in brine; smoked fish",-.73004824,-.76503813,-.57423711,-.48087779,-.2735543,-.2520732,-.25801295,
056,Belgium,036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",-.42764542,-.27992544,-.20477846,-.3539387,-.42746136,-.48452184,-.45375761,
056,Belgium,037,"Fish, crustaceans and molluscs, prepared or preserved, nes",-.51331186,-.4401361,-.32653588,-.39606792,-.44394627,-.42256126,-.43225145,
056,Belgium,041,"Wheat and meslin, unmilled",-.47197598,-.55489361,-.56391609,-.4040173,-.55239958,-.61953062,-.77655399,
056,Belgium,042,Rice,-.23679005,-.31617808,-.00069478707,.0061615766,.015578503,-.026233109,-.10213161,
056,Belgium,043,"Barley, unmilled",-.3669557,-.28852868,-.14967307,-.42731529,-.48206055,-.69215769,-.84447134,
056,Belgium,044,"Maize, unmilled",-.8808108,-.76301068,-.69935793,-.65310657,-.52924401,-.55743319,-.67939818,
056,Belgium,045,"Cereals, unmilled",-.58546859,-.6464209,-.61990458,-.5518834,-.23258051,-.34697017,-.56463468,
056,Belgium,046,Meal and flour of wheat and flour of meslin,.44952756,.15996017,.61569726,.28890243,.017019574,-.012261101,-.13555735,
056,Belgium,047,Other cereal meals and flour,-.072202519,-.59736323,-.3583822,.34967917,.19779542,.2312413,.15944149,
056,Belgium,048,"Cereal, flour or starch preparations of fruits or vegetables",.43664214,.36219609,.46919945,.47351101,.32135707,.34384456,.30889851,
056,Belgium,054,"Vegetables, fresh or simply preserved; roots and tubers, nes",.13905364,.051653925,.46983263,.5297187,.34160975,.31288734,.17526782,
056,Belgium,056,"Vegetables, roots and tubers, prepared or preserved, nes",-.11814927,-.1382241,.25656554,.15169396,-.17259717,-.14728743,.031056613,
056,Belgium,057,"Fruit and nuts, fresh, dried",.044750612,-.027601529,.096227989,-.09382052,-.23430568,-.27054083,-.26740888,
056,Belgium,058,"Fruit, preserved, and fruits preparations",.18454088,.094175585,.13887194,.20932141,-.015762921,.058082394,.029660979,
056,Belgium,061,Sugar and honey,.29566029,.18812844,-.016508924,.042696215,-.11444607,-.12557486,-.27357525,
