country,sitc_foodx,expshare
NL,Live Animals,.0022586314
NL,Meat,.016556583
NL,Milk/Butter,.0074368184
NL,Cheese,.0070442841
NL,Eggs,.0017901736
NL,Fish,.0070872908
NL,Wheat,.0068142307
NL,Vegetables,.009171932
NL,Fruits,.011926649
NL,Other Food,.0425613
NL,Non-Food,.88735211
BE,Live Animals,.0013683651
BE,Meat,.0097199026
BE,Milk/Butter,.0070698923
BE,Cheese,.0023980022
BE,Eggs,.00055861269
BE,Fish,.0016106908
BE,Wheat,.0081433579
BE,Vegetables,.0052117012
BE,Fruits,.0047985353
BE,Other Food,.035960138
BE,Non-Food,.92316079
DK,Live Animals,.0091416221
DK,Meat,.035545319
DK,Milk/Butter,.0083583016
DK,Cheese,.015217008
DK,Eggs,.00083591783
DK,Fish,.032165535
DK,Wheat,.0063869082
DK,Vegetables,.0019938583
DK,Fruits,.0019758786
DK,Other Food,.034991764
DK,Non-Food,.85338789
SE,Live Animals,.00014272421
SE,Meat,.0014436238
SE,Milk/Butter,.0020189879
SE,Cheese,.00055411778
SE,Eggs,.0002518968
SE,Fish,.026773306
SE,Wheat,.0056681409
SE,Vegetables,.00046150005
SE,Fruits,.00096644234
SE,Other Food,.016365821
SE,Non-Food,.94535345
NZL,Live Animals,.007412252
NZL,Meat,.13935177
NZL,Milk/Butter,.24447909
NZL,Cheese,.036608189
NZL,Eggs,.00030533739
NZL,Fish,.026071519
NZL,Wheat,.0053241528
NZL,Vegetables,.0053122146
NZL,Fruits,.054450575
NZL,Other Food,.076739721
NZL,Non-Food,.40394515
